date confirmed deaths new_cases growth_ratio estimated_day off_by pct_error
2020-03-06 0 0 0 0   
2020-03-07 0 0 0 0 0 0 0
2020-03-08 0 0 0 0 0 0 0
2020-03-09 0 0 0 0 0 0 0
2020-03-10 0 0 0 0 0 0 0
2020-03-11 0 0 0 0 0 0 0
2020-03-12 2 0 2 0 0 -2 100
2020-03-13 6 0 4 3 0 -6 100
2020-03-14 6 0 0 1 18 12 200
2020-03-15 63 0 57 10.5 6 -57 90.48
2020-03-16 76 0 13 1.20635 661.5 585.5 770.39
2020-03-17 96 0 20 1.26316 91.6825 -4.31746 4.5
2020-03-18 133 0 37 1.38542 121.263 -11.7368 8.82
2020-03-19 185 1 52 1.39098 184.26 -0.739583 0.4
2020-03-20 268 1 83 1.44865 257.331 -10.6692 3.98
2020-03-21 371 2 103 1.38433 388.238 17.2378 4.65
2020-03-22 479 2 108 1.29111 513.586 34.5858 7.22
2020-03-23 644 6 165 1.34447 618.439 -25.5606 3.97
2020-03-24 851 7 207 1.32143 865.837 14.8372 1.74
2020-03-25 1127 11 276 1.32432 1124.54 -2.46429 0.22
2020-03-26 1687 16 560 1.49689 1492.51 -194.486 11.53
2020-03-27 2218 22 531 1.31476 2525.26 307.261 13.85
2020-03-28 2751 34 533 1.24031 2916.14 165.138 6
2020-03-29 3394 38 643 1.23373 3412.08 18.0834 0.53
2020-03-30 4087 48 693 1.20418 4187.29 100.29 2.45
2020-03-31 4843 63 756 1.18498 4921.5 78.4994 1.62
2020-04-01 5805 74 962 1.19864 5738.84 -66.1576 1.14
2020-04-02 7016 90 1211 1.20861 6958.09 -57.911 0.83
2020-04-03 8420 102 1404 1.20011 8479.63 59.6307 0.71
2020-04-04 10017 136 1597 1.18967 10105 87.9601 0.88
2020-04-05 11510 150 1493 1.14905 11916.9 406.899 3.54
2020-04-06 12980 162 1470 1.12771 13225.5 245.527 1.89
2020-04-07 14559 240 1579 1.12165 14637.7 78.7411 0.54
2020-04-08 16239 310 1680 1.11539 16330.1 91.0833 0.56
2020-04-09 18228 338 1989 1.12248 18112.9 -115.141 0.63
2020-04-10 19979 416 1751 1.09606 20460.6 481.618 2.41
2020-04-11 21655 494 1676 1.08389 21898.2 243.203 1.12
2020-04-12 22833 507 1178 1.0544 23471.6 638.596 2.8
2020-04-13 24199 524 1366 1.05983 24075.1 -123.919 0.51
2020-04-14 25345 584 1146 1.04736 25646.7 301.722 1.19
2020-04-15 26490 647 1145 1.04518 26545.3 55.2715 0.21
2020-04-16 27735 707 1245 1.047 27686.7 -48.2728 0.17
2020-04-17 29441 756 1706 1.06151 29038.5 -402.486 1.37
2020-04-18 31069 836 1628 1.0553 31251.9 182.937 0.59
2020-04-19 32284 1112 1215 1.03911 32787 503.024 1.56
2020-04-20 33232 1204 948 1.02936 33546.5 314.514 0.95
2020-04-21 34528 1564 1296 1.039 34207.8 -320.163 0.93
2020-04-22 35684 1622 1156 1.03348 35874.5 190.542 0.53
2020-04-23 37053 1394 1369 1.03836 36878.7 -174.297 0.47
2020-04-24 38652 1492 1599 1.04315 38474.5 -177.479 0.46
2020-04-25 40049 1537 1397 1.03614 40320 271.004 0.68
2020-04-26 41165 1550 1116 1.02787 41496.5 331.492 0.81
2020-04-27 42050 1597 885 1.0215 42312.1 262.098 0.62
2020-04-28 43264 1716 1214 1.02887 42954 -309.977 0.716477
2020-04-29 44366 2195 1102 1.02547 44513 147.047 0.33144
2020-04-30 45763 2292 1397 1.03149 45496.1 -266.93 0.583287
2020-05-01 46971 2354 1208 1.0264 47204 232.988 0.496026
2020-05-02 48305 2418 1334 1.0284 48210.9 -94.1133 0.194831
2020-05-03 49267 2444 962 1.01992 49676.9 409.887 0.83197
2020-05-04 50092 2458 825 1.01675 50248.2 156.156 0.311739
2020-05-05 50957 3012 865 1.01727 50930.8 -26.1875 0.0513914
2020-05-06 51845 3106 888 1.01743 51836.9 -8.06641 0.0155587
2020-05-07 52915 3416 1070 1.02064 52748.5 -166.523 0.3147
2020-05-08 54238 3616 1323 1.025 54007.1 -230.914 0.425742
2020-05-09 55316 3688 1078 1.01988 55594.1 278.078 0.502708
2020-05-10 56611 3707 1295 1.02341 56415.4 -195.57 0.345463
2020-05-11 57154 3731 543 1.00959 57936.3 782.316 1.36879
2020-05-12 57991 3806 837 1.01464 57702.2 -288.789 0.497989
2020-05-13 58698 3943 707 1.01219 58840.3 142.258 0.242355
2020-05-14 59636 4218 938 1.01598 59413.6 -222.383 0.3729
2020-05-15 60622 4342 986 1.01653 60589 -33.0078 0.0544486
2020-05-16 61611 4403 989 1.01631 61624.3 13.3008 0.0215883
2020-05-17 62234 4418 623 1.01011 62616.1 382.137 0.614032
2020-05-18 63056 4505 822 1.01321 62863.3 -192.703 0.305606
2020-05-19 63666 4624 610 1.00967 63888.9 222.859 0.350045
2020-05-20 64412 4767 746 1.01172 64281.9 -130.098 0.201977
2020-05-21 65392 4869 980 1.01521 65166.7 -225.258 0.344473
2020-05-22 66258 4984 866 1.01324 66386.9 128.914 0.194564
2020-05-23 66983 5096 725 1.01094 67135.5 152.469 0.227623
2020-05-24 67713 5124 730 1.0109 67715.9 2.9375 0.00433816
2020-05-25 68186 5139 473 1.00699 68451 264.953 0.388574
2020-05-26 68637 5152 451 1.00661 68662.3 25.2969 0.036856
2020-05-27 69417 5265 780 1.01136 69091 -326.023 0.469659
2020-05-28 70042 5373 625 1.009 70205.9 163.859 0.233944
2020-05-29 70735 5464 693 1.00989 70672.6 -62.375 0.0881812
2020-05-30 71415 5537 680 1.00961 71434.9 19.8516 0.0277975
2020-05-31 71926 5555 511 1.00716 72101.5 175.539 0.244055
2020-06-01 72282 5567 356 1.00495 72440.7 158.664 0.219507
2020-06-02 72894 5667 612 1.00847 72639.8 -254.234 0.348773
2020-06-03 73405 5742 511 1.00701 73511.2 106.18 0.144649
2020-06-04 73942 5817 537 1.00732 73919.6 -22.4141 0.030313
2020-06-05 74385 5886 443 1.00599 74482.9 97.9297 0.131652
2020-06-06 75086 5931 701 1.00942 74830.7 -255.344 0.340068
2020-06-07 75592 5943 506 1.00674 75793.6 201.609 0.266707
2020-06-08 75943 5953 351 1.00464 76101.4 158.406 0.208586
2020-06-09 76436 6014 493 1.00649 76295.6 -140.375 0.18365
2020-06-10 76846 6062 410 1.00536 76932.2 86.1953 0.112166
2020-06-11 77313 6113 467 1.00608 77258.2 -54.8047 0.0708868
2020-06-12 77999 6162 686 1.00887 77782.8 -216.164 0.277137
2020-06-13 78462 6211 463 1.00594 78691.1 229.086 0.291971
2020-06-14 78798 6215 336 1.00428 78927.8 129.75 0.164662
2020-06-15 79121 6243 323 1.0041 79135.4 14.4375 0.0182474
2020-06-16 79483 6277 362 1.00458 79445.3 -37.6719 0.0473961
2020-06-17 79818 6319 335 1.00421 79846.7 28.6562 0.035902
2020-06-18 80236 6361 418 1.00524 80154.4 -81.5859 0.101682
2020-06-19 80762 6399 526 1.00656 80656.2 -105.812 0.131018
2020-06-20 81266 6419 504 1.00624 81291.5 25.4531 0.0313208
2020-06-21 81730 6423 464 1.00571 81773.1 43.1484 0.0527939
2020-06-22 82168 6426 438 1.00536 82196.6 28.6484 0.0348657
2020-06-23 82696 6464 528 1.00643 82608.3 -87.6562 0.105998
2020-06-24 83191 6518 495 1.00599 83227.4 36.3906 0.0437435
2020-06-25 83770 6557 579 1.00696 83689 -81.0391 0.09674
2020-06-26 84370 6579 600 1.00716 84353 -16.9688 0.0201123
2020-06-27 84991 6579 621 1.00736 84974.3 -16.7031 0.0196528
2020-06-28 85496 6579 505 1.00594 85616.6 120.57 0.141025
2020-06-29 85988 6579 492 1.00575 86004 15.9922 0.0185982
2020-06-30 86606 6649 618 1.00719 86482.8 -123.164 0.142212
2020-07-01 87242 6649 636 1.00734 87228.4 -13.5625 0.0155458
